City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Vanimo,PG,2020-08-27 17:38:28,-2.67,141.3,78.94,85,57,4.09
1,Tasiilaq,GL,2020-08-27 17:38:28,65.61,-37.64,39.2,80,20,10.29
2,Brownsville,US,2020-08-27 17:35:31,25.9,-97.5,95.0,53,40,12.75
3,Port Alfred,ZA,2020-08-27 17:38:28,-33.59,26.89,61.97,82,0,7.63
4,Punta Arenas,CL,2020-08-27 17:35:12,-53.15,-70.92,39.0,64,40,23.04
5,Aklavik,CA,2020-08-27 17:38:28,68.22,-135.01,39.2,86,90,3.36
6,Coquimbo,CL,2020-08-27 17:38:28,-29.95,-71.34,59.0,67,20,9.17
7,Guiratinga,BR,2020-08-27 17:38:28,-16.35,-53.76,103.6,11,72,2.71
8,Hithadhoo,MV,2020-08-27 17:38:28,-0.6,73.08,80.28,73,100,11.5
9,Albany,US,2020-08-27 17:35:53,42.6,-73.97,63.0,91,100,5.39
10,Zirandaro,MX,2020-08-27 17:38:29,18.45,-100.98,78.08,88,100,2.1
11,Myrhorod,UA,2020-08-27 17:38:29,49.97,33.61,61.5,86,84,8.37
12,Bilibino,RU,2020-08-27 17:38:29,68.05,166.44,39.88,89,100,2.66
13,Kuldur,RU,2020-08-27 17:38:29,49.22,131.63,61.72,91,100,3.18
14,Sinnamary,GF,2020-08-27 17:38:29,5.38,-52.95,84.36,74,3,6.46
15,Baoqing,CN,2020-08-27 17:36:56,46.33,132.21,69.12,96,100,9.69
16,Saint-Pierre,RE,2020-08-27 17:38:29,-21.34,55.48,69.8,60,2,4.7
17,Torbay,CA,2020-08-27 17:38:29,47.67,-52.73,68.0,68,75,17.22
18,Chuy,UY,2020-08-27 17:38:29,-33.7,-53.46,56.79,98,100,10.8
19,Kashi,CN,2020-08-27 17:38:29,39.45,75.98,71.6,56,40,2.24
20,Dunedin,NZ,2020-08-27 17:37:57,-45.87,170.5,42.01,83,99,5.99
21,San Policarpo,PH,2020-08-27 17:38:29,12.18,125.51,79.95,85,100,6.4
22,Ribeira Grande,PT,2020-08-27 17:38:29,38.52,-28.7,77.0,88,75,5.82
23,Rikitea,PF,2020-08-27 17:38:29,-23.12,-134.97,67.75,60,0,1.25
24,Jamestown,US,2020-08-27 17:38:29,42.1,-79.24,84.0,69,20,17.22
25,Lebu,CL,2020-08-27 17:38:29,-37.62,-73.65,52.23,79,100,10.65
26,Bredasdorp,ZA,2020-08-27 17:38:30,-34.53,20.04,57.2,76,2,3.36
27,Suez,EG,2020-08-27 17:38:30,29.97,32.53,80.64,54,0,15.86
28,Ushuaia,AR,2020-08-27 17:38:30,-54.8,-68.3,41.0,38,40,23.04
29,Kuusamo,FI,2020-08-27 17:38:30,65.97,29.18,48.2,81,90,6.93
30,Pandan,PH,2020-08-27 17:38:30,14.05,124.17,82.45,78,100,7.63
31,Yumen,CN,2020-08-27 17:38:30,40.28,97.2,61.61,27,27,13.35
32,Longyearbyen,SJ,2020-08-27 17:38:30,78.22,15.64,41.0,65,40,12.75
33,Asfi,MA,2020-08-27 17:38:30,32.3,-9.24,80.19,53,0,22.12
34,Mataura,NZ,2020-08-27 17:38:30,-46.19,168.86,36.14,87,70,3.8
35,Barrancabermeja,CO,2020-08-27 17:38:30,7.07,-73.85,91.67,54,80,1.32
36,Port Hardy,CA,2020-08-27 17:38:30,50.7,-127.42,53.6,100,90,5.82
37,Atuona,PF,2020-08-27 17:38:31,-9.8,-139.03,78.76,75,61,21.92
38,Le Havre,FR,2020-08-27 17:38:31,49.49,0.11,68.0,82,81,19.46
39,Tuktoyaktuk,CA,2020-08-27 17:38:31,69.45,-133.04,42.8,70,90,10.29
40,Bambous Virieux,MU,2020-08-27 17:38:31,-20.34,57.76,71.6,83,75,8.05
41,Kayerkan,RU,2020-08-27 17:38:31,69.35,87.76,55.4,82,8,11.18
42,Cape Town,ZA,2020-08-27 17:38:31,-33.93,18.42,60.01,71,40,11.41
43,Yellowknife,CA,2020-08-27 17:38:31,62.46,-114.35,57.2,87,75,12.75
44,Ilulissat,GL,2020-08-27 17:38:31,69.22,-51.1,44.6,65,75,5.82
45,Paamiut,GL,2020-08-27 17:38:31,61.99,-49.67,43.48,76,100,0.81
46,Belvedere Marittimo,IT,2020-08-27 17:38:31,39.62,15.86,81.0,51,4,8.01
47,Hilo,US,2020-08-27 17:35:26,19.73,-155.09,73.4,78,75,4.7
48,New Norfolk,AU,2020-08-27 17:38:31,-42.78,147.06,46.99,75,7,3.0
49,Shubarshi,KZ,2020-08-27 17:38:31,48.59,57.19,77.83,24,5,4.03
50,Sao Joao Da Barra,BR,2020-08-27 17:38:31,-21.64,-41.05,77.0,65,75,6.93
51,Bathsheba,BB,2020-08-27 17:38:32,13.22,-59.52,87.8,74,40,20.8
52,Lakes Entrance,AU,2020-08-27 17:38:32,-37.88,147.98,46.99,80,14,1.01
53,South Sioux City,US,2020-08-27 17:38:32,42.47,-96.41,86.0,58,1,5.82
54,Sambava,MG,2020-08-27 17:38:32,-14.27,50.17,73.06,77,16,11.39
55,Staraya Toropa,RU,2020-08-27 17:38:32,56.28,31.67,55.27,98,100,1.45
56,Kudahuvadhoo,MV,2020-08-27 17:38:32,2.67,72.89,83.19,71,100,12.03
57,Shakiso,ET,2020-08-27 17:38:32,5.75,38.92,62.56,81,72,1.54
58,Lagoa,PT,2020-08-27 17:38:32,39.05,-27.98,74.88,85,87,3.78
59,Barrow,US,2020-08-27 17:38:32,71.29,-156.79,37.4,93,90,18.34
60,Revelstoke,CA,2020-08-27 17:38:25,50.98,-118.2,64.4,55,20,3.36
61,Yenangyaung,MM,2020-08-27 17:38:32,20.47,94.88,78.4,84,52,9.64
62,Vilyuysk,RU,2020-08-27 17:38:32,63.76,121.62,44.58,59,0,4.34
63,Cedar Falls,US,2020-08-27 17:38:32,42.53,-92.45,89.01,58,1,11.41
64,Pevek,RU,2020-08-27 17:38:32,69.7,170.31,36.16,95,10,1.59
65,Mogadishu,SO,2020-08-27 17:38:32,2.04,45.34,77.0,82,5,14.03
66,Severo-Kurilsk,RU,2020-08-27 17:38:33,50.68,156.12,50.88,88,100,13.24
67,Kapaa,US,2020-08-27 17:38:33,22.08,-159.32,73.99,100,75,12.75
68,Sola,VU,2020-08-27 17:38:33,-13.88,167.55,80.83,76,74,23.94
69,Alofi,NU,2020-08-27 17:38:33,-19.06,-169.92,62.6,93,71,1.12
70,Berlevag,NO,2020-08-27 17:38:33,70.86,29.09,44.6,75,75,24.16
71,Saint-Philippe,RE,2020-08-27 17:38:33,-21.36,55.77,69.8,60,39,4.7
72,Falun,SE,2020-08-27 17:38:33,60.6,15.63,57.2,50,94,5.82
73,Lompoc,US,2020-08-27 17:38:33,34.64,-120.46,57.2,87,90,10.29
74,Leningradskiy,RU,2020-08-27 17:38:33,69.38,178.42,37.87,93,96,4.61
75,Peace River,CA,2020-08-27 17:35:37,56.25,-117.29,60.8,59,40,14.99
76,Pisco,PE,2020-08-27 17:38:33,-13.7,-76.22,66.2,72,20,10.29
77,Pierre,US,2020-08-27 17:38:33,44.37,-100.35,68.0,94,75,12.75
78,Nizwa,OM,2020-08-27 17:38:33,22.93,57.53,92.35,40,97,9.4
79,Baherden,TM,2020-08-27 17:38:33,38.44,57.43,78.48,20,0,6.67
80,Port Elizabeth,ZA,2020-08-27 17:38:33,-33.92,25.57,59.0,72,0,10.29
81,Abnub,EG,2020-08-27 17:36:03,27.27,31.15,93.2,24,0,14.99
82,Pacific Grove,US,2020-08-27 17:36:11,36.62,-121.92,57.0,93,59,1.99
83,Jaisalmer,IN,2020-08-27 17:38:34,26.91,70.92,86.31,68,25,11.92
84,Wum,CM,2020-08-27 17:38:34,6.38,10.07,67.05,97,100,1.34
85,Yar-Sale,RU,2020-08-27 17:38:34,66.83,70.83,55.58,76,19,7.65
86,Tigil,RU,2020-08-27 17:38:34,57.8,158.67,44.74,90,100,7.07
87,Kaeo,NZ,2020-08-27 17:38:34,-35.1,173.78,43.0,3,6,4.0
88,Butaritari,KI,2020-08-27 17:38:34,3.07,172.79,82.0,69,72,10.11
89,Kloulklubed,PW,2020-08-27 17:38:34,7.04,134.26,84.11,74,94,10.45
90,Puerto Escondido,MX,2020-08-27 17:38:34,15.85,-97.07,82.4,54,90,13.87
91,Harrismith,ZA,2020-08-27 17:38:34,-28.27,29.13,63.48,33,86,14.79
92,Vardo,NO,2020-08-27 17:38:34,70.37,31.11,46.4,81,75,13.87
93,Yulara,AU,2020-08-27 17:36:22,-25.24,130.99,66.2,24,0,11.41
94,Tilichiki,RU,2020-08-27 17:38:34,60.47,166.1,40.12,82,100,6.76
95,Hambantota,LK,2020-08-27 17:38:34,6.12,81.12,79.93,80,38,15.5
96,Pochutla,MX,2020-08-27 17:37:29,15.74,-96.47,86.0,70,90,6.4
97,Busselton,AU,2020-08-27 17:38:34,-33.65,115.33,48.99,77,1,5.79
98,Katsuura,JP,2020-08-27 17:38:35,35.13,140.3,82.0,90,2,1.99
99,Santa Cruz Cabralia,BR,2020-08-27 17:38:35,-16.28,-39.02,77.0,61,40,9.17
100,Merauke,ID,2020-08-27 17:38:35,-8.47,140.33,76.73,81,4,16.93
101,Fortuna,US,2020-08-27 17:38:35,40.6,-124.16,57.99,87,75,3.36
102,Seydi,TM,2020-08-27 17:38:35,39.48,62.91,74.3,30,0,11.25
103,Barrhead,GB,2020-08-27 17:34:24,55.8,-4.39,55.4,93,100,6.93
104,Tazovskiy,RU,2020-08-27 17:38:35,67.47,78.7,52.02,86,0,8.46
105,Indiana,US,2020-08-27 17:38:35,40.0,-86.25,84.0,83,40,9.17
106,Puerto Ayora,EC,2020-08-27 17:38:35,-0.74,-90.35,73.4,64,20,23.04
107,Manokwari,ID,2020-08-27 17:38:35,-0.87,134.08,78.35,74,11,5.21
108,Hobart,AU,2020-08-27 17:38:14,-42.88,147.33,48.0,65,40,11.41
109,Norman Wells,CA,2020-08-27 17:38:35,65.28,-126.83,51.8,93,75,3.36
110,Poum,NC,2020-08-27 17:38:35,-20.23,164.02,69.67,71,91,9.86
111,Cherskiy,RU,2020-08-27 17:38:35,68.75,161.3,36.59,94,100,2.28
112,Shiyan,CN,2020-08-27 17:38:36,32.65,110.78,71.29,83,0,1.61
113,Bengkulu,ID,2020-08-27 17:38:36,-3.8,102.27,75.81,84,2,5.95
114,Cidreira,BR,2020-08-27 17:38:36,-30.18,-50.21,68.58,62,80,9.1
115,Tshikapa,CD,2020-08-27 17:38:36,-6.42,20.8,72.25,86,100,1.03
116,Clonakilty,IE,2020-08-27 17:38:36,51.62,-8.87,59.0,82,75,5.82
117,Nome,US,2020-08-27 17:38:36,64.5,-165.41,48.2,81,1,10.29
118,Hamilton,US,2020-08-27 17:37:16,39.18,-84.53,84.99,70,75,12.75
119,Oyama,JP,2020-08-27 17:38:36,36.3,139.8,88.0,88,40,2.24
120,Bereda,ES,2020-08-27 17:38:36,43.27,-7.54,82.0,63,64,10.0
121,Pindi Gheb,PK,2020-08-27 17:38:36,33.24,72.27,75.2,88,75,8.05
122,Bethel,US,2020-08-27 17:38:36,41.37,-73.41,82.0,61,1,12.75
123,Hsinchu,TW,2020-08-27 17:38:36,24.8,120.97,82.0,81,100,4.23
124,Linxia,CN,2020-08-27 17:38:36,35.6,103.21,59.76,54,31,3.29
125,Ambilobe,MG,2020-08-27 17:38:37,-13.2,49.05,69.15,80,7,4.63
126,Maputo,MZ,2020-08-27 17:38:37,-25.97,32.59,68.0,82,1,12.75
127,Marshall,US,2020-08-27 17:38:37,34.38,-86.33,88.0,70,40,5.82
128,Gat,IL,2020-08-27 17:38:37,31.61,34.76,82.0,61,0,4.72
129,Marsabit,KE,2020-08-27 17:38:37,2.33,37.99,70.93,57,8,20.74
130,Hovd,MN,2020-08-27 17:38:37,48.01,91.64,56.03,41,100,1.5
131,Ouallam,NE,2020-08-27 17:38:37,14.32,2.09,92.43,42,68,6.17
132,Hermanus,ZA,2020-08-27 17:38:37,-34.42,19.23,57.0,88,43,1.01
133,Naze,JP,2020-08-27 17:38:37,28.37,129.48,82.4,94,75,5.82
134,Rio Gallegos,AR,2020-08-27 17:36:12,-51.62,-69.22,39.11,70,80,16.87
135,Bluff,NZ,2020-08-27 17:38:37,-46.6,168.33,42.67,80,75,13.31
136,Castro,BR,2020-08-27 17:38:37,-24.79,-50.01,74.95,35,0,2.93
137,Saskylakh,RU,2020-08-27 17:38:37,71.92,114.08,51.85,68,2,3.91
138,Carnarvon,AU,2020-08-27 17:38:37,-24.87,113.63,66.2,100,22,5.82
139,Endicott,US,2020-08-27 17:38:37,42.1,-76.05,88.0,58,75,19.46
140,Lorengau,PG,2020-08-27 17:38:37,-2.02,147.27,81.82,76,70,7.52
141,Belmonte,BR,2020-08-27 17:38:38,-15.86,-38.88,77.0,61,40,9.17
142,Sangar,RU,2020-08-27 17:38:38,63.92,127.47,43.75,62,19,5.7
143,Celaliye,TR,2020-08-27 17:38:38,41.05,28.42,78.8,65,38,11.41
144,Faanui,PF,2020-08-27 17:38:38,-16.48,-151.75,77.25,77,1,15.95
145,Arraial Do Cabo,BR,2020-08-27 17:38:38,-22.97,-42.03,77.0,69,40,13.87
146,Vaini,TO,2020-08-27 17:38:38,-21.2,-175.2,66.2,100,97,3.36
147,Baykit,RU,2020-08-27 17:38:38,61.67,96.37,54.03,84,91,2.15
148,Saint-Georges,GD,2020-08-27 17:38:38,12.06,-61.75,86.0,84,75,12.75
149,Hobyo,SO,2020-08-27 17:38:38,5.35,48.53,76.51,82,99,27.0
150,Gigmoto,PH,2020-08-27 17:38:38,13.78,124.39,81.86,75,100,3.02
151,Amapa,BR,2020-08-27 17:38:38,1.0,-52.0,92.66,44,30,1.34
152,Verkhnevilyuysk,RU,2020-08-27 17:38:38,63.45,120.32,43.38,62,6,2.51
153,Vila Franca Do Campo,PT,2020-08-27 17:38:38,37.72,-25.43,77.0,88,20,8.05
154,Bafq,IR,2020-08-27 17:38:38,31.61,55.41,76.53,17,0,8.32
155,Tiksi,RU,2020-08-27 17:38:39,71.69,128.87,38.17,82,0,2.89
156,Rivadavia,AR,2020-08-27 17:38:39,-33.19,-68.46,60.8,38,20,5.82
157,The Valley,AI,2020-08-27 17:34:59,18.22,-63.06,89.6,70,40,14.99
158,Ponta Do Sol,PT,2020-08-27 17:38:39,32.67,-17.1,84.2,51,20,20.8
159,Aksarka,RU,2020-08-27 17:38:39,66.56,67.8,55.51,84,47,6.69
160,Bulalacao,PH,2020-08-27 17:38:39,12.33,121.34,81.59,76,96,8.39
161,Bar Harbor,US,2020-08-27 17:38:39,44.39,-68.2,68.0,39,1,8.05
162,Esperance,AU,2020-08-27 17:38:39,-33.87,121.9,53.6,87,0,14.99
163,Saldanha,ZA,2020-08-27 17:38:39,-33.01,17.94,57.2,76,78,6.93
164,Vao,NC,2020-08-27 17:38:39,-22.67,167.48,66.6,72,81,20.27
165,Lufilufi,WS,2020-08-27 17:38:39,-13.87,-171.6,71.6,94,75,8.05
166,Phonhong,LA,2020-08-27 17:38:39,18.5,102.42,76.14,91,35,0.87
167,Tuatapere,NZ,2020-08-27 17:38:39,-46.13,167.68,39.97,87,72,7.05
168,Iqaluit,CA,2020-08-27 17:38:39,63.75,-68.51,59.0,44,75,8.05
169,Port Arthur,CN,2020-08-27 17:38:39,38.8,121.27,73.4,88,75,4.47
170,Mar Del Plata,AR,2020-08-27 17:38:40,-38.0,-57.56,66.2,37,0,11.41
171,Mahebourg,MU,2020-08-27 17:38:40,-20.41,57.7,71.6,83,75,8.05
172,San Cristobal,VE,2020-08-27 17:38:40,7.77,-72.22,91.4,49,20,12.75
173,Cap Malheureux,MU,2020-08-27 17:38:40,-19.98,57.61,70.0,78,10,3.0
174,Ostersund,SE,2020-08-27 17:38:40,63.18,14.64,51.8,62,90,5.82
175,Coihaique,CL,2020-08-27 17:38:40,-45.58,-72.07,42.8,70,90,10.29
176,Irece,BR,2020-08-27 17:35:44,-11.3,-41.86,87.75,18,8,5.23
177,Aberdeen,GB,2020-08-27 17:33:46,57.14,-2.1,55.4,82,75,11.41
178,Ust-Maya,RU,2020-08-27 17:38:40,60.42,134.53,39.31,74,0,1.95
179,Talnakh,RU,2020-08-27 17:38:40,69.49,88.4,55.4,82,1,11.18
180,Omsukchan,RU,2020-08-27 17:38:40,62.53,155.8,37.98,85,96,4.0
181,Saint-Joseph,RE,2020-08-27 17:38:40,-21.37,55.62,69.8,60,19,4.7
182,Dundee,GB,2020-08-27 17:38:40,56.5,-2.97,55.4,93,90,11.41
183,Thompson,CA,2020-08-27 17:38:40,55.74,-97.86,62.6,72,40,3.36
184,Kijang,KR,2020-08-27 17:38:41,35.24,129.21,80.6,88,90,10.29
185,Hasaki,JP,2020-08-27 17:38:41,35.73,140.83,79.0,100,75,1.12
186,Isangel,VU,2020-08-27 17:38:41,-19.55,169.27,71.83,84,100,18.1
187,Burkburnett,US,2020-08-27 17:38:41,34.1,-98.57,87.01,62,40,10.29
188,Mangan,IN,2020-08-27 17:38:41,27.52,88.53,73.08,59,75,0.6
189,Gambela,ET,2020-08-27 17:38:41,8.25,34.58,73.15,89,100,3.13
190,Prince Rupert,CA,2020-08-27 17:36:30,54.32,-130.32,51.8,93,20,8.05
191,Luang Prabang,LA,2020-08-27 17:38:41,19.89,102.13,75.15,79,65,1.83
192,Opochka,RU,2020-08-27 17:38:41,56.71,28.66,56.12,94,63,2.66
193,Rovaniemi,FI,2020-08-27 17:38:41,66.5,25.72,50.0,57,20,3.36
194,Anna Paulowna,NL,2020-08-27 17:38:41,52.86,4.83,64.99,77,90,10.29
195,Qaanaaq,GL,2020-08-27 17:38:41,77.48,-69.36,39.22,88,100,10.27
196,Grindavik,IS,2020-08-27 17:38:41,63.84,-22.43,50.0,81,75,17.22
197,Russell,US,2020-08-27 17:38:41,32.35,-85.2,89.6,62,40,8.05
198,Christchurch,NZ,2020-08-27 17:38:41,-43.53,172.63,46.0,93,43,3.36
199,Pangnirtung,CA,2020-08-27 17:38:42,66.15,-65.71,46.4,93,20,10.29
200,Diapaga,BF,2020-08-27 17:38:42,12.07,1.79,77.29,89,88,5.23
201,Tual,ID,2020-08-27 17:38:42,-5.67,132.75,79.75,81,97,25.3
202,Kodiak,US,2020-08-27 17:38:42,57.79,-152.41,51.8,87,90,4.7
203,General Roca,AR,2020-08-27 17:38:42,-39.03,-67.58,64.4,17,11,12.75
204,Magdagachi,RU,2020-08-27 17:38:42,53.45,125.8,44.78,87,61,5.61
205,Praia Da Vitoria,PT,2020-08-27 17:38:42,38.73,-27.07,78.8,78,40,1.34
206,Havelock,US,2020-08-27 17:38:42,34.88,-76.9,91.4,55,1,5.82
207,Naron,ES,2020-08-27 17:38:42,43.52,-8.15,73.99,88,70,8.99
208,Khatanga,RU,2020-08-27 17:38:42,71.97,102.5,54.75,82,54,3.8
209,Ponnani,IN,2020-08-27 17:38:42,10.77,75.93,78.8,83,40,3.36
210,Borskoye,RU,2020-08-27 17:38:42,53.03,51.72,69.37,50,100,8.19
211,Cascais,PT,2020-08-27 17:38:42,38.7,-9.42,75.99,78,40,19.46
212,Albanel,CA,2020-08-27 17:38:42,48.88,-72.45,59.0,62,75,17.22
213,Flinders,AU,2020-08-27 17:38:42,-34.58,150.86,57.99,65,27,12.71
214,Vammala,FI,2020-08-27 17:38:43,61.33,22.9,59.0,58,55,6.93
215,Shakawe,BW,2020-08-27 17:38:43,-18.37,21.85,75.45,19,83,2.13
216,Ryotsu,JP,2020-08-27 17:38:43,38.08,138.43,77.0,88,30,2.24
217,Esso,RU,2020-08-27 17:38:43,55.93,158.7,44.37,85,100,3.6
218,Preobrazheniye,RU,2020-08-27 17:38:43,42.9,133.91,70.05,92,89,7.74
219,Arman,RU,2020-08-27 17:38:43,59.7,150.17,46.83,69,87,6.89
220,Mujiayingzi,CN,2020-08-27 17:38:43,42.12,118.78,62.46,77,99,6.08
221,Vila Velha,BR,2020-08-27 17:38:43,-20.33,-40.29,77.0,73,75,13.87
222,Avarua,CK,2020-08-27 17:38:43,-21.21,-159.78,71.6,73,84,2.24
223,Ambulu,ID,2020-08-27 17:38:43,-8.35,113.61,72.55,88,23,3.76
224,Anloga,GH,2020-08-27 17:38:43,5.79,0.9,78.8,83,20,12.75
225,Port Macquarie,AU,2020-08-27 17:36:00,-31.43,152.92,39.99,97,0,6.53
226,Alta Floresta,BR,2020-08-27 17:38:43,-9.88,-56.09,95.29,28,55,4.54
227,Sept-Iles,CA,2020-08-27 17:38:44,50.2,-66.38,63.0,45,75,17.22
228,Gogrial,SS,2020-08-27 17:38:44,8.53,28.1,75.49,86,76,0.6
229,Espana,PH,2020-08-27 17:38:44,12.38,122.5,83.35,78,100,13.76
230,East London,ZA,2020-08-27 17:36:08,-33.02,27.91,62.6,82,0,9.17
231,Sorland,NO,2020-08-27 17:38:44,67.67,12.69,50.0,71,75,9.17
232,Evans,US,2020-08-27 17:38:44,33.53,-82.13,90.0,59,20,4.7
233,Shihezi,CN,2020-08-27 17:38:44,44.3,86.03,59.76,80,100,8.81
234,Mendi,PG,2020-08-27 17:38:44,-6.18,143.65,55.15,99,80,1.3
235,Gualaceo,EC,2020-08-27 17:38:44,-2.9,-78.78,71.6,24,20,6.93
236,Achinsk,RU,2020-08-27 17:38:44,56.27,90.5,53.71,92,87,2.75
237,Sisimiut,GL,2020-08-27 17:38:44,66.94,-53.67,50.92,61,88,6.44
238,Lata,PT,2020-08-27 17:38:44,40.16,-8.33,80.01,73,0,5.99
239,Chokurdakh,RU,2020-08-27 17:38:44,70.63,147.92,33.85,92,100,6.2
240,Airai,TL,2020-08-27 17:38:44,-8.93,125.41,57.96,94,30,3.65
241,Port Shepstone,ZA,2020-08-27 17:38:44,-30.74,30.45,66.54,77,27,25.61
242,Victoria,HK,2020-08-27 17:36:59,22.29,114.16,84.0,74,60,5.14
243,Sherghati,IN,2020-08-27 17:38:45,24.57,84.78,82.4,83,75,4.7
244,Ler,SS,2020-08-27 17:38:45,8.3,30.14,75.69,84,58,2.26
245,Namatanai,PG,2020-08-27 17:38:45,-3.67,152.43,78.94,82,54,6.73
246,Nikolskoye,RU,2020-08-27 17:38:45,59.7,30.79,53.6,87,75,6.71
247,Dunkwa,GH,2020-08-27 17:38:45,5.97,-1.78,78.55,80,65,4.47
248,Humboldt,US,2020-08-27 17:38:45,40.67,-123.92,57.99,87,75,3.36
249,Dwarka,IN,2020-08-27 17:38:45,22.24,68.97,82.22,84,95,14.52
250,Esmeraldas,BR,2020-08-27 17:38:45,-19.76,-44.31,80.6,36,0,9.17
251,Soyo,AO,2020-08-27 17:38:45,-6.13,12.37,73.29,85,67,11.18
252,Konstantinovka,RU,2020-08-27 17:38:45,49.62,127.98,62.01,54,100,13.06
253,Shimanovsk,RU,2020-08-27 17:38:45,52.0,127.7,51.67,82,100,6.78
254,Ewo,CG,2020-08-27 17:38:45,-0.87,14.82,72.55,90,100,5.46
255,Kavieng,PG,2020-08-27 17:38:45,-2.57,150.8,82.0,75,12,8.86
256,Samarai,PG,2020-08-27 17:38:45,-10.62,150.67,77.49,86,99,21.65
257,Charters Towers,AU,2020-08-27 17:38:45,-20.1,146.27,54.73,85,7,6.73
258,Antofagasta,CL,2020-08-27 17:38:46,-23.65,-70.4,60.8,63,20,14.99
259,Port Huron,US,2020-08-27 17:34:48,42.97,-82.42,87.01,66,75,10.29
260,Mbour,SN,2020-08-27 17:38:46,14.42,-16.96,80.6,88,75,5.82
261,Nangomba,TZ,2020-08-27 17:38:46,-10.9,38.5,77.13,58,38,9.26
262,Dali,CN,2020-08-27 17:38:46,25.7,100.18,62.58,84,61,4.76
263,Lebedyn,UA,2020-08-27 17:38:46,50.59,34.48,63.86,75,66,4.99
264,Komsomolskiy,UZ,2020-08-27 17:38:46,40.43,71.72,68.0,64,3,2.24
265,Vostok,RU,2020-08-27 17:38:46,46.49,135.88,61.2,100,100,5.41
266,Taunggyi,MM,2020-08-27 17:38:46,20.78,97.03,61.48,100,4,2.71
267,Mandapam,IN,2020-08-27 17:38:46,9.28,79.12,83.44,79,57,17.87
268,Oneonta,US,2020-08-27 17:38:46,42.45,-75.06,77.0,75,97,1.01
269,Antalya,TR,2020-08-27 17:38:46,36.77,30.72,82.4,69,0,4.7
270,Ahipara,NZ,2020-08-27 17:38:46,-35.17,173.17,50.68,79,6,7.31
271,Sicuani,PE,2020-08-27 17:38:46,-14.27,-71.23,67.96,21,0,14.34
272,Vila,PT,2020-08-27 17:38:46,42.03,-8.16,75.99,65,17,5.99
273,Songjianghe,CN,2020-08-27 17:38:46,42.19,127.48,65.82,95,25,5.08
274,Springbok,ZA,2020-08-27 17:38:47,-29.66,17.89,44.37,95,94,7.76
275,Bata,GQ,2020-08-27 17:38:47,1.86,9.77,76.96,88,96,10.58
276,Harper,LR,2020-08-27 17:38:47,4.38,-7.72,76.98,83,98,10.8
277,Sitka,US,2020-08-27 17:38:47,57.05,-135.33,53.6,81,90,3.89
278,Kerman,IR,2020-08-27 17:38:47,30.28,57.08,78.8,19,75,11.41
279,Erenhot,CN,2020-08-27 17:38:47,43.65,111.98,71.1,47,100,9.01
280,Bandarbeyla,SO,2020-08-27 17:38:47,9.49,50.81,77.27,78,100,29.53
281,Kenora,CA,2020-08-27 17:35:01,49.82,-94.43,68.0,60,75,4.7
